artist_name,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
Justin Bieber,Been You,0.74,0.781,7,-6.204,0,0.07,0.0223,0.0,0.321,0.861,113.021,spotify:track:3mIf8Zk2cy7ITwvvNkC0l2
Years & Years,King - ARTY Remix,0.55,0.868,2,-3.875,1,0.0814,0.00703,1.3e-06,0.69,0.451,126.032,spotify:track:2JIOsfwXGIBXVi7o1rDg3L
San Cisco,Awkward - EP Version,0.592,0.845,6,-6.46,0,0.099,0.0667,2.7e-05,0.119,0.928,161.92,spotify:track:6Zkl0z6XpRKOASu1KkvS0l
Lil Wayne,Trippy,0.76,0.605,2,-6.085,1,0.502,0.0712,0.0,0.199,0.516,135.995,spotify:track:2SOsWLMZdA4XcWmkgSCdo4
A$AP Ferg,Nasty (Who Dat) (feat. Migos),0.661,0.636,4,-4.551,0,0.118,0.0203,2.25e-05,0.378,0.428,179.041,spotify:track:76T8y91xMLWJgfsEsmWGxW
The Tallest Man On Earth,Love Is All,0.63,0.254,2,-11.48,1,0.0299,0.931,0.000375,0.108,0.354,107.238,spotify:track:2qppEPX84bYQmgBjCeF8FO
The Beatles,Mother Nature's Son - Remastered 2009,0.608,0.178,2,-17.109,1,0.0264,0.634,0.352,0.166,0.401,84.78,spotify:track:6TjUg1cTUzWHbal6yQAi7c
Twenty One Pilots,Semi-Automatic,0.78,0.716,6,-4.551,0,0.0439,0.0489,5.92e-06,0.0704,0.362,105.017,spotify:track:70Cp0ukCMyWeJML77NGERU
Waxahatchee,Peace and Quiet,0.605,0.366,4,-6.818,1,0.0321,0.453,2.95e-05,0.119,0.34,149.869,spotify:track:4BQq7S7mxWCdgnTs8gGkpH
Ghostland Observatory,Sad Sad City,0.706,0.679,3,-5.421,0,0.0448,0.000384,0.0,0.043,0.875,114.992,spotify:track:26T7C1NMXKE7hCWhKH2l0o
André Sobota,Six Days - Radio Edit,0.589,0.714,9,-7.478,0,0.0691,0.265,0.784,0.0949,0.246,125.993,spotify:track:33M8r1EFKg3RITpo7q1ZcN
Kali Uchis,Ridin' Round,0.883,0.581,1,-7.287,1,0.0645,0.248,0.000146,0.0731,0.0958,119.98,spotify:track:0Ud8Gu7XyqU3jzfsWd9fn3
Sage The Gemini,Don't You,0.932,0.448,11,-8.429,0,0.153,0.0726,0.0,0.119,0.654,95.017,spotify:track:4FOv3s8nyCctxcgstQwtFj
5 Seconds of Summer,Story Of Another Us,0.497,0.869,2,-4.517,1,0.0375,0.00189,0.0,0.0778,0.575,147.996,spotify:track:3gsimQvRfVWO4YyEqpKk6r
Lil Durk,On Em,0.837,0.73,0,-5.342,1,0.429,0.0705,0.0,0.091,0.527,133.035,spotify:track:7mzsmwLVE2m6Cjbo1XkK3m
Queen,You're My Best Friend - Remastered 2011,0.51,0.76,0,-6.995,1,0.0411,0.148,0.0116,0.0706,0.55,118.829,spotify:track:5YtxOL4iUchhynLL9nEBwQ
We The Kings,Skyway Avenue,0.472,0.895,6,-3.35,1,0.0758,0.0369,0.0,0.0435,0.71,163.972,spotify:track:3AZgFVKI4fzHa3ooUQ40VU
Nosaj Thing,Aquarium,0.635,0.655,0,-9.521,1,0.0484,0.15,0.553,0.129,0.271,91.026,spotify:track:4ZOv9mx6Lz7RRaBFi5UNaE
Kenny Chesney,Pirate Flag,0.577,0.805,7,-6.251,1,0.0509,0.0723,8.64e-06,0.106,0.576,160.128,spotify:track:6LyE8gxq8Hq7AGeOvLbGMv
Niall Horan,Slow Hands - Acoustic,0.822,0.22,9,-8.36,0,0.0382,0.25,0.0,0.112,0.634,87.453,spotify:track:7tAPTpA6VmKAeu3S5w9RVW
MOTHICA,No One - Kayge Calypso & DUNN Remix,0.746,0.572,0,-8.951,1,0.26,0.665,0.0,0.371,0.319,129.933,spotify:track:28axGcu9he7YdQ0xwXIaC9
A Day To Remember,You Had Me At Hello,0.411,0.623,2,-9.992,1,0.0285,0.432,0.000156,0.612,0.415,84.953,spotify:track:0glqaq92TYIFXJFwamOgL3
XXXTENTACION,Revenge,0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW
Hatebreed,I Will Be Heard,0.585,0.907,1,-4.787,1,0.102,7.21e-05,0.0,0.0682,0.573,92.634,spotify:track:4Lxn1JlGJwmmXpODrNvPA6
Michael Bublé,You've Got a Friend in Me,0.461,0.355,2,-8.046,1,0.0354,0.618,0.0,0.634,0.336,112.149,spotify:track:5xEfTvJm1WvxaSEo4XSbEs
You Me At Six,No One Does It Better,0.539,0.621,7,-5.274,1,0.0269,0.0709,9.85e-06,0.127,0.187,101.984,spotify:track:0Mp7o0zOB7UqsUpdT4ePCp
Black Merda!,Let Go,0.743,0.848,7,-5.137,1,0.108,0.00692,0.00597,0.0689,0.768,98.971,spotify:track:1AwWTJhJGzigMzFksikuRh
I Call Fives,Coast to Coast,0.514,0.963,8,-5.874,1,0.053,5.25e-05,0.000633,0.0784,0.788,142.073,spotify:track:41LKWLCuTQEhMZioX0chVZ
Gramatik,Bringin' It Back,0.808,0.983,6,-5.647,1,0.21,0.132,0.36,0.337,0.408,130.0,spotify:track:7kp6fPseZyroC0oYEutl4Z
Atmosphere,The Best Day,0.882,0.624,6,-5.372,1,0.0681,0.358,0.0,0.0678,0.9,96.897,spotify:track:1WPQ1MfGc8KYi4eu0JwjlR
Florida Georgia Line,Party People,0.48,0.969,1,-2.887,1,0.0448,0.0471,1.03e-06,0.085,0.833,171.93,spotify:track:0qR9rQ3v1nONaLI1uraWTA
Florida Georgia Line,Music Is Healing,0.497,0.785,4,-4.015,0,0.0399,0.292,0.0,0.19,0.419,139.899,spotify:track:0uCem3X4V9xZGVzIWw3uKf
Grace VanderWaal,So Much More Than This,0.742,0.522,5,-4.111,1,0.152,0.136,0.0,0.0422,0.751,180.039,spotify:track:599hlIX8JXS7RNYvQ3EPCQ
Sylvan Esso,Die Young,0.696,0.544,8,-6.419,1,0.0335,0.372,0.00438,0.104,0.418,101.974,spotify:track:1BRwuvjhkgezmv1gcI6lT6
Jimmy Durante,Young at Heart,0.424,0.345,10,-9.406,1,0.0357,0.578,0.00224,0.367,0.416,80.654,spotify:track:7Jsf108FhkJk1OETCACiUJ
Atlantic Starr,When Love Calls - Single Version,0.793,0.747,11,-6.284,1,0.0346,0.00941,3.8e-05,0.0671,0.668,106.055,spotify:track:3t3F0uoY9MoQ7iU8GEOlSU
Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),0.832,0.659,10,-7.828,0,0.057,0.0839,0.00114,0.0753,0.674,100.163,spotify:track:5CMjjywI0eZMixPeqNd75R
N.W.A.,Live Intro (1989),0.57,0.895,7,-7.146,1,0.395,0.352,0.0337,0.642,0.318,102.046,spotify:track:5rcfqCM5aapyVmjNL1IpHY
APRIL,Lovesick,0.585,0.897,6,-2.253,0,0.0988,0.0421,0.0,0.0773,0.639,199.967,spotify:track:40cJz4dRAzdMmyuZFOLTLp
In Hearts Wake,Oblivion,0.617,0.956,2,-4.001,1,0.0706,0.000209,0.779,0.0962,0.135,125.033,spotify:track:3JwgEOlsaEsLqdfU2x5oCA
SafetySuit,Looking Up,0.61,0.822,0,-4.424,1,0.0336,0.00272,0.000323,0.169,0.455,92.046,spotify:track:7ezGYRSrMOywKamZ0LPVwR
Tirso Duarte,Eso Que Me Pides,0.613,0.749,2,-5.506,1,0.0388,0.781,3.55e-06,0.0754,0.811,90.15,spotify:track:2odNfRn75QmZEpvLDAbloT
Max Manie,The Ocean,0.771,0.741,5,-7.977,1,0.0422,0.0484,0.929,0.0765,0.101,119.005,spotify:track:7z84Ep9vDoYvBuMTZWUgac
Rise Against,Hero Of War,0.645,0.417,4,-7.022,1,0.029,0.543,0.0,0.0982,0.256,77.054,spotify:track:00hVU6kDP67JHurfwG2dtq
Big Sean,Sacrifices,0.779,0.56,10,-7.564,0,0.253,0.258,0.0,0.241,0.421,142.032,spotify:track:1r0faljjM2b876iNoaDUh5
Billy Bragg,Christ for President,0.407,0.801,9,-6.144,1,0.034,0.0271,3.74e-06,0.128,0.942,200.879,spotify:track:7j6gvfJ5u0IFuoDTlzIKdB
DNCE,Good Day,0.721,0.673,5,-4.94,0,0.0461,0.0666,0.0,0.187,0.893,110.008,spotify:track:4ShWNLj7oDvhspFysflXiM
Miles Davis,"On Green Dolphin Street (feat. John Coltrane, Cannonball Adderley & Bill Evans)",0.445,0.304,8,-12.261,1,0.0437,0.742,0.00068,0.175,0.362,76.74,spotify:track:0tUq1zaYNoV6ZiYRU2bjqf
Hawk Nelson,Last Christmas,0.676,0.767,0,-6.523,1,0.0348,0.25,0.0,0.28,0.788,113.975,spotify:track:18cX9axtBJXDf5h4K6ggRV
Sara Bareilles,She Used To Be Mine,0.397,0.303,5,-7.508,1,0.0435,0.381,0.0,0.101,0.172,81.05,spotify:track:2D4BSm5Z8Hq5zYbSgJwEOh
Whiskeytown,16 Days,0.561,0.741,0,-5.842,1,0.0537,0.242,0.0,0.0874,0.404,127.467,spotify:track:49FGDCURPhI4VGn3Y7bmLT
Halsey,Drive,0.571,0.585,9,-8.392,0,0.0494,0.239,0.00016,0.133,0.291,113.973,spotify:track:3ek4HgBlmvkTWgfT5sTSe9
Post Malone,Hit This Hard,0.628,0.553,0,-8.967,1,0.0472,0.294,0.00551,0.0825,0.367,140.026,spotify:track:61jnrkPHpLumBf1kqGpRRt
Five For Fighting,Story Of Your Life,0.498,0.824,5,-4.9,1,0.0325,0.127,0.0,0.1,0.408,139.987,spotify:track:6osGTWL7BpZbDPyx40h19F
Iris Temple,Philosopher,0.594,0.217,5,-13.194,1,0.564,0.798,0.00187,0.0416,0.691,128.486,spotify:track:5kUfQK0mn1cBGczXOTL2gl
Jul,Mon bijou,0.915,0.757,0,-8.004,0,0.143,0.183,0.00026,0.093,0.357,125.026,spotify:track:127LVxx0WkxbCcZqp2LAEY
Jon Brion,"Row - From ""Eternal Sunshine of the Spotless Mind""/Score",0.629,0.151,11,-19.033,1,0.0738,0.955,0.945,0.109,0.202,75.982,spotify:track:1MAeLzBF3xsg6fpRZztyCD
Bear Attack!,The Backpack Song,0.683,0.342,10,-11.698,1,0.025,0.748,0.000264,0.107,0.502,99.029,spotify:track:6O55F5DmlUkAVK8OMZ4fhr
Post Malone,Money Made Me Do It,0.734,0.429,7,-6.511,1,0.16,0.305,0.0,0.0659,0.372,83.021,spotify:track:1ysAvOdJgUjc6CqOQxepaz
Anya Marina,Whatever You Like - Single Version,0.663,0.643,5,-4.383,1,0.0316,0.535,0.0,0.308,0.368,121.97,spotify:track:5qX2ZJoLEyFCTAdaCqUo7s
Stromae,Papaoutai,0.733,0.818,10,-7.222,0,0.0859,0.0241,0.0,0.0636,0.253,116.019,spotify:track:09TcIuH1ZO7i4vicWKoaN2
June Christy,Shoo Fly Pie And Apple Pan Dowdy,0.66,0.377,3,-11.529,1,0.0888,0.752,0.0,0.0736,0.746,124.032,spotify:track:7rMArlZaoWdPo2XKDZQAFC
Stevie Wonder,Uptight (Everything's Alright),0.61,0.653,5,-9.956,0,0.0291,0.0287,0.0,0.135,0.833,133.403,spotify:track:5q5q7yDHiVkBnaivsda4TN
Alta Consigna,Sinaloense Es El Joven,0.616,0.73,5,-4.499,1,0.0389,0.484,0.0,0.327,0.875,122.984,spotify:track:7yKNWwigPMMlVxGN1ocaDC
Brute,Expiration Day,0.52,0.545,10,-7.543,1,0.0228,0.221,0.0,0.102,0.323,77.808,spotify:track:1L4eWE1K5K4Lae6Jp0DSrR
Ezequiel Peña,Y Andale - Ranchera,0.695,0.625,5,-3.611,1,0.0335,0.491,9.85e-05,0.251,0.972,96.579,spotify:track:2aeKs31Omlsn8HmreDqTDY
All Time Low,Nightmares,0.537,0.624,0,-5.873,1,0.0288,0.0755,0.0,0.138,0.468,135.987,spotify:track:0LJp1imLp25L6loDVPDMGn
Alberto Vazquez,El Pecador,0.248,0.318,4,-8.971,0,0.0358,0.696,0.0,0.158,0.154,177.253,spotify:track:5k6fOcv3B7sE6V1uZ5kwb6
Theory of a Deadman,Bad Girlfriend,0.504,0.957,0,-2.657,1,0.0529,0.00298,0.0,0.187,0.676,135.013,spotify:track:5ynWvN3bQymHVThxutO4hG
Gorilla Zoe,I Know,0.621,0.831,2,-5.204,1,0.227,0.018,0.0,0.232,0.639,154.252,spotify:track:655NGwMdc7a7hiGdvtqDSc
Zhané,Hey Mr. D.J.,0.865,0.56,2,-7.954,1,0.0567,0.0231,0.0012,0.0833,0.875,101.309,spotify:track:6dEs3CH2goHCTR6XCTctVd
Beastie Boys,The Biz Vs. The Nuge - Remastered 2009,0.419,0.436,4,-16.75,1,0.0356,0.864,2.56e-06,0.805,0.476,131.231,spotify:track:6NMrxmuxMrHLMpnvjjBXQm
White Lies,Death,0.454,0.832,7,-5.649,1,0.0343,0.000451,0.0188,0.076,0.228,135.087,spotify:track:3B9L8xqaMo9VOBHpKkDP0e
The Rolling Stones,Shake Your Hips,0.374,0.787,2,-7.054,1,0.0617,0.69,0.831,0.203,0.763,180.496,spotify:track:38jmI8GCXdgg1W8bPGodQZ
Pepe Aguilar,El Querendon,0.766,0.253,10,-8.336,1,0.0632,0.629,0.0,0.276,0.91,129.044,spotify:track:2ERBfwQcJmUiAjOUasLA5e
David Guetta,Light My Body Up (feat. Nicki Minaj & Lil Wayne),0.699,0.66,6,-7.013,0,0.0861,0.00365,0.0,0.139,0.689,145.937,spotify:track:3vgNmjuRDnGLxUFGCLkwpm
A Day To Remember,"I'm Made of Wax, Larry, What Are You Made Of?",0.241,0.97,10,-4.246,0,0.104,7.35e-05,0.0,0.904,0.621,159.93,spotify:track:1fTNpl2mxqHVlLqRNbyDhR
Magic Man,Texas,0.559,0.923,4,-5.682,1,0.0603,0.00434,5.77e-06,0.115,0.448,144.978,spotify:track:26b3LHONLELwlrKRJvReIv
Grateful Dead,Sugar Magnolia - 2013 Remaster,0.598,0.516,1,-12.487,0,0.0413,0.174,1.32e-06,0.0816,0.671,154.446,spotify:track:2EB1aFLWC4uIfld5Z3Yj1z
Cypress Hill,Yo Quiero Fumar (I Wanna Get High) - Spanish Version,0.499,0.582,11,-12.411,1,0.196,0.0232,0.0324,0.0755,0.431,81.916,spotify:track:3RIDe85YSYGGoJ0daSzfhD
Mark Chesnutt,Goin' Through The Big D,0.566,0.861,10,-7.543,1,0.0365,0.143,0.000213,0.0817,0.862,173.793,spotify:track:4s6Q9zPmiYcpo5MR7uoVnt
Imaginary Cities,Ride This Out,0.447,0.577,2,-6.048,0,0.0896,0.18,4.76e-05,0.0973,0.602,76.337,spotify:track:6mDldfDSWzGO8k9KOSC1vg
99 Souls,The Girl Is Mine,0.683,0.943,9,-3.6,1,0.0397,0.00423,0.0972,0.0356,0.706,118.991,spotify:track:2cNCaMkur4qF0lNwJWBf6b
Akon,I'm So Paid,0.471,0.865,6,-4.179,1,0.325,0.118,0.0,0.0994,0.516,92.037,spotify:track:5264rU21ndum3CYYaSGUUm
Young the Giant,Crystallized,0.478,0.879,0,-3.765,1,0.0396,0.0362,0.0,0.182,0.582,162.918,spotify:track:4x5TZd8GnB3UbK80ovO4TU
Starship,We Built This City,0.661,0.908,5,-4.897,1,0.039,0.052,0.0,0.0708,0.656,144.091,spotify:track:7aHRctaQ7vjxVTVmY8OhAA
Major Lazer,Lean On (feat. MØ & DJ Snake),0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,spotify:track:4WjH9Bzt3kx7z8kl0awxh4
Daniel Woolhouse,Map of the Moon,0.531,0.403,6,-8.108,1,0.0284,0.647,0.00035,0.0856,0.156,100.106,spotify:track:0LbT7hAjPczb2k57trXjWg
Alpines,Stay,0.699,0.517,1,-5.033,1,0.0268,0.0356,0.0,0.118,0.388,89.99,spotify:track:2tsKd5LwHewwNvlpVzy3mg
Dyland & Lenny,La Cura (feat. Yomo),0.743,0.804,6,-4.767,1,0.235,0.221,1.34e-05,0.162,0.726,178.065,spotify:track:1ayxW6etsgYlblvQA4XGxa
Rachel Platten,Hands,0.616,0.193,7,-10.532,0,0.0622,0.917,0.0,0.251,0.381,100.327,spotify:track:2vDV1IiMZeFHMnVpxarTYy
Alice Russell,Twin Peaks,0.734,0.446,0,-7.903,1,0.0604,0.192,0.00218,0.109,0.681,90.001,spotify:track:3KIMhkXRnqVrAd78bBw9ft
RITUAL,Better By Now,0.696,0.449,5,-6.768,0,0.0685,0.899,0.0,0.114,0.298,96.072,spotify:track:6vW1BIFgDFxnDjMke0FkTn
C-Kan,Vuelve (feat. MC Davo),0.722,0.698,8,-7.588,1,0.109,0.446,0.0,0.371,0.818,79.997,spotify:track:7hwR6340SkyisqZWFkWErP
Quincy Jones,Killer Joe,0.503,0.297,2,-16.374,0,0.0314,0.229,0.00119,0.0831,0.356,124.965,spotify:track:2UBpSPdz1m4yIsullbnptA
David Allan Coe,If That Ain't Country,0.529,0.431,10,-11.227,1,0.0502,0.654,0.0,0.161,0.661,90.008,spotify:track:0vmtIKcJSsphwR6MLWF5Uz
Tim McGraw,Down On The Farm,0.721,0.735,5,-11.849,0,0.0284,0.115,0.0,0.0499,0.961,127.575,spotify:track:65N3RYCN1DgfY0Zcv5k9kr
Wolfgang Amadeus Mozart,"Klarinettenkonzert A-Dur, K. 622: 2. Adagio (Jenseits von Afrika): II. Adagio",0.122,0.0182,2,-27.89,1,0.0383,0.967,0.834,0.0735,0.0473,77.59,spotify:track:4a2qoYY6xINDXtUOBFbJ6d
Sweet Babe May,Water Under The Bridge (Remix),0.529,0.578,8,-6.564,1,0.029,0.0204,0.0,0.119,0.454,94.892,spotify:track:6RsTyP1c1zcU20Rd3GOT9A
Shawn Mendes,Bring It Back,0.466,0.448,11,-7.173,0,0.0327,0.158,0.0,0.127,0.27,79.306,spotify:track:0KXQJObw7wSN3PTzp722Dp
IAMDYNAMITE,Where Will We Go,0.689,0.78,1,-6.1,0,0.0639,0.0066,0.000489,0.33,0.366,96.397,spotify:track:2lTcjyNolq1zsDCevBAKvc
Train,50 Ways to Say Goodbye,0.591,0.935,6,-2.664,1,0.0478,0.000284,0.000278,0.142,0.736,140.043,spotify:track:2NniAhAtkRACaMeYt48xlD
Doss,Here Tonight,0.461,0.687,10,-7.96,0,0.035,0.408,0.9,0.11,0.695,171.872,spotify:track:3hpNYD75LbutfXEOS4oTvb
MORIAH,To Leave It All Behind,0.511,0.661,6,-5.368,1,0.0316,0.0454,0.0,0.0414,0.231,140.089,spotify:track:4M02qbwRJq9eZcKQxxzoy5
War,Low Rider,0.811,0.647,0,-10.989,1,0.0498,0.0823,0.681,0.0572,0.99,139.787,spotify:track:2fmMPJb5EzZCx8BcNJvVk4
John Mayer,Why Georgia,0.608,0.639,7,-7.205,1,0.0246,0.0208,5.94e-05,0.0893,0.369,96.915,spotify:track:1c7UYTut2SBOPq64o2t0uN
Avril Lavigne,Sk8er Boi,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937,spotify:track:4omisSlTk6Dsq2iQD7MA07
My Chemical Romance,Hang 'Em High,0.422,0.946,2,-3.145,0,0.0651,0.000181,0.0,0.231,0.262,127.03,spotify:track:262RJtiqytpugV1UvDicN9
Royal Teeth,Wild,0.562,0.925,8,-5.927,1,0.0493,0.000456,4.06e-05,0.108,0.766,112.004,spotify:track:62tW8h5l2UrgqvdbhZaXL1
Fee,Everything Falls,0.385,0.786,0,-5.198,1,0.0406,0.00486,0.0,0.209,0.382,159.923,spotify:track:1mdK14zBTy5Qp5qsq9eYyb
DJ JS-1,Ridiculous (feat. Oc & Pharoahe Monch),0.811,0.709,2,-7.249,1,0.164,0.0234,8.31e-06,0.168,0.667,94.819,spotify:track:0DwR70kkASmMyG1A7fsNGS
Sugababes,Hole In The Head,0.785,0.933,6,-4.629,0,0.0309,0.0303,0.0,0.137,0.962,125.011,spotify:track:0UODoSWbhBQyUhzL10D03d
The Moody Blues,Your Wildest Dreams,0.534,0.582,7,-15.997,1,0.0374,0.289,0.0338,0.283,0.653,141.362,spotify:track:1T4iwEA2ySieXjWxjiMVWs
All Time Low,"Dear Maria, Count Me In",0.465,0.896,2,-3.126,1,0.0795,0.00725,0.0,0.206,0.569,181.014,spotify:track:0J69x3mqm7U6tBPKsjpsWR
Psymbionic,Vision,0.642,0.572,5,-3.549,0,0.0277,0.0173,0.634,0.134,0.248,99.992,spotify:track:4hhzARu2i0ONf0U27e939o
Cuco,Amor de Siempre,0.566,0.64,0,-7.209,1,0.0501,0.613,0.342,0.138,0.535,122.998,spotify:track:6e37iSTg0DW4QP4PwQE8A9
Craig Morgan,Almost Home,0.525,0.481,8,-6.715,1,0.0251,0.302,0.0,0.121,0.237,75.974,spotify:track:6FW9MTGMjR5A6q2o7PLuuz
Tchami,After Life (feat. Stacy Barthe),0.604,0.903,0,-4.231,1,0.0449,0.000176,0.53,0.0586,0.078,125.989,spotify:track:3dhPpCQvw3kn7so6mkTbJ3
Randy Rogers Band,Tequila Eyes,0.595,0.67,0,-6.45,1,0.0253,0.0438,0.104,0.141,0.362,105.684,spotify:track:1TSQc1KEuF7HdfbzZ6jy1I
Borgore,Turn Around,0.51,0.541,9,-4.885,0,0.218,0.345,0.0,0.113,0.0784,100.014,spotify:track:2aVxNxy6yJmN2HOMRSA1W5
Sara Evans,Suds in the Bucket,0.513,0.913,10,-3.131,1,0.0416,0.043,0.000295,0.318,0.885,162.003,spotify:track:35gfXPXbG5YOOLYD52KYsR
Florida Georgia Line,While He's Still Around,0.628,0.519,8,-5.973,1,0.0329,0.817,0.0,0.141,0.736,146.207,spotify:track:1Q9ePyZ6uZEU6Mmiux9KiE
Coldplay,Daylight,0.453,0.571,11,-6.117,1,0.0314,0.00976,0.518,0.0846,0.189,132.787,spotify:track:4fP4xTSBli3tKck172LEZ4
This Wild Life,Sleigh Ride,0.629,0.581,11,-7.701,1,0.0236,0.248,0.0,0.101,0.717,89.511,spotify:track:7bhLPIpXDSKNhe07Ajm92Z
Bob Dylan,When the Ship Comes In,0.58,0.421,2,-9.161,1,0.0315,0.867,0.0,0.205,0.347,114.725,spotify:track:7hMhO4oenpVkVaM5bNkEbz
Good Knight Productions,Bale Town,0.526,0.259,7,-15.522,1,0.0332,0.526,0.938,0.0862,0.565,119.996,spotify:track:0XU4kC8lnvRLgztRyVyXTh
Mayday Parade,"Sorry, Not Sorry",0.514,0.903,8,-4.358,1,0.0297,6.3e-05,0.0,0.282,0.467,96.503,spotify:track:5zr8dSkaUNC85xQG1ubF3T
James Carr,These Arms of Mine,0.56,0.472,1,-9.995,1,0.0428,0.614,5.65e-06,0.151,0.62,149.867,spotify:track:6BuunHPb2RDDNu4wZuk8Ql
Reese Witherspoon,"Venus - From ""Sing"" Original Motion Picture Soundtrack",0.724,0.969,4,-3.213,1,0.0521,0.033,0.0988,0.188,0.929,125.64,spotify:track:2igsNTOD2UmL9mMv4e1cp3
Joey Gatto,Can't Delete You,0.778,0.459,10,-7.746,0,0.0718,0.696,0.000164,0.0866,0.24,110.028,spotify:track:5cZTbDkB2iJslDNr7SGkiQ
Carrie Underwood,Just a Dream,0.526,0.781,7,-3.673,1,0.0369,0.0613,0.0,0.121,0.358,142.06,spotify:track:7g8OpS827dAYU067lZaR0L
Elvis Costello & The Attractions,High Fidelity,0.571,0.801,7,-8.319,1,0.034,0.0273,0.0161,0.321,0.888,144.45,spotify:track:30XO5sFrcKrEZgHmoOH4B9
Jana Kramer,Love,0.599,0.668,8,-5.247,1,0.0293,0.28,0.0,0.109,0.299,101.939,spotify:track:2pBNt3TiCLFmfAN2wRBRbY
San Holo,Memories,0.508,0.577,1,-7.678,1,0.0392,0.000756,0.922,0.125,0.199,157.099,spotify:track:2oD8x1fEyuglgsbytkBhWI
Curren$y,Fed Ex,0.563,0.378,1,-8.031,1,0.149,0.139,0.00219,0.0747,0.104,150.267,spotify:track:2dfXYMrRH9KraHFNdUs5gx
Rufus,Hollywood,0.654,0.401,4,-16.35,1,0.0563,0.841,0.155,0.0996,0.685,92.744,spotify:track:0pAl5djH0oEexbTFHRl2Wk
Danny Brown,Grown Up,0.635,0.766,11,-6.449,1,0.26,0.132,0.0,0.122,0.686,93.603,spotify:track:1jqB1YzZaDrxYKaFqTDLUe
John Williams,Anakin's Betrayal,0.103,0.164,9,-18.333,0,0.0377,0.883,0.962,0.105,0.0366,91.471,spotify:track:1en8BBL06NfKqbVnd46wGY
SAUCITO,Purple,0.752,0.645,7,-3.715,0,0.0394,0.0628,0.0,0.0892,0.603,98.016,spotify:track:0u0CceRGiKJM2wjXuHqkY8
Ben Platt,Waving Through A Window,0.552,0.692,9,-5.54,1,0.0593,0.339,0.0,0.104,0.543,144.666,spotify:track:63Q9hAFTga7rqYRrAhwIyR
Chris Snelling,Any Other Name,0.479,0.00865,10,-25.927,1,0.0761,0.993,0.931,0.145,0.313,141.792,spotify:track:58L8YmEo1dsviTQBsGUHQ4
N.W.A.,Compton's N The House / Ruthless Gangster - Live/1988,0.714,0.827,1,-5.925,1,0.351,0.676,0.0,0.169,0.608,96.151,spotify:track:4DxGtk68IboqIUNFapbxsK
Dustin Lynch,What You Wanna Hear,0.446,0.741,8,-5.874,1,0.0396,0.00829,0.0,0.158,0.636,152.131,spotify:track:5mrLGGHW5pinvoOssuUqG1
